Company,Rating,Reviews,Salaries,Interviews,Jobs,Benefits
Magic EdTech,3.5,(696),3.7k,96,14,32
NSB Bpo Solutions,2.8,(697),1.7k,36,--,37
Sykes Business Services Of India,3.4,(696),2.5k,53,30,205
TVS Electronics,3.6,(696),2.4k,33,12,70
Medtronic,3.9,(695),4.7k,82,112,64
Caparo Engineering India,3.9,(695),2.5k,35,--,63
Surya Roshni,4.1,(694),2.3k,23,11,50
Lionbridge Technologies,3.5,(693),3.8k,52,8,63
Teamlease Digital,3.3,(693),3.4k,39,4,49
R.S. Infraprojects,4.0,(692),1.7k,41,2,63
Testbook.com,3.3,(692),4.5k,111,1,23
HCL Healthcare,4.5,(692),1k,178,8,25
Orient Cement,4.4,(691),2.4k,48,6,81
Doosan Power Systems,4.3,(691),2.5k,44,--,83
Cohesity,3.9,(691),5.2k,87,21,83
CJ Darcl Logistics Limited,4.0,(690),2k,45,1,47
MPS Limited,3.5,(690),3k,39,16,44
Kurlon,4.3,(689),2.1k,37,8,89
Neeyamo Enterprise Solutions,3.5,(689),4.1k,71,6,69
Welspun World,3.7,(689),2.6k,60,102,85
Wissen Infotech,3.5,(689),5k,64,44,59
Wissen Technology,3.8,(689),5.5k,213,86,88
Bayer Crop Science Vegetable Seeds,4.2,(688),1k,38,--,4
Vasudha Pharma Chem,4.0,(688),2.3k,38,18,64
Livpure,3.8,(688),2.3k,41,18,51
Solv,3.4,(687),1.8k,46,--,18
Corteva Agriscience,4.3,(687),2.7k,41,7,59
PCBL Chemical Limited,3.9,(686),2.6k,74,--,52
Embibe,3.4,(685),2.7k,61,--,85
Grihum Housing Finance,3.7,(685),2.2k,33,41,12
Dhanuka Agritech,3.6,(685),1.9k,50,2,60
ANAROCK Property Consultants,3.5,(684),3.2k,66,82,36
CSC,3.6,(684),4.7k,68,50,4
Narayana e-Techno School,3.6,(684),2.1k,56,--,30
Redington,4.1,(683),3.1k,37,--,72
Impetus Technologies,3.2,(683),6.5k,116,67,58
Office Beacon,4.5,(683),896,68,1,16
Toppr,3.4,(682),3k,66,--,94
SMC Global Securities,3.5,(681),2.6k,60,10,29
EPL Limited,3.8,(681),1.8k,30,5,70
JoulestoWatts Business Solutions,3.4,(681),3.4k,80,--,16
Saint Gobain Glass,3.9,(679),2.1k,31,--,2
Housing.com,3.5,(679),3k,81,83,71
Ingram Micro,3.6,(678),3.4k,33,--,67
Osource Global,3.5,(678),2.8k,27,27,4
Quess IT Staffing Solutions,3.2,(678),1.5k,45,--,9
Krsnaa Diagnostics,3.5,(677),1.7k,53,36,33
My Home Industries,4.1,(676),2.3k,44,8,62
Surin Automotive,3.8,(675),2k,61,--,32
Optimum Infosystem,3.2,(675),3.6k,59,94,17
Indorama,3.9,(674),2.3k,43,12,41
Sintex BAPL,3.6,(674),2.4k,43,4,72
DAV Public School,3.9,(673),1.2k,37,--,87
Nihilent,3.2,(673),4.9k,65,32,52
Zaalima Development,4.3,(681),18,229,--,27
Snapdeal,3.5,(673),2.8k,78,38,121
TCI Express,3.9,(672),1.9k,47,2,58
Belstar Microfinance,3.9,(672),1.6k,43,--,20
DeHaat,3.6,(673),2.1k,70,6,22
Government of India,4.2,(672),3.9k,69,--,87
TDS Lithium-Ion Battery,4.2,(672),2.3k,98,--,34
Licious,3.5,(672),3.1k,78,9,86
Careon Healthcare Solutions,3.9,(671),3.1k,10,--,3
Sigma Engineered Solutions,3.9,(670),2.6k,33,--,16
NextComm Corporation,4.8,(669),39,6,--,31
Centaur Pharmaceuticals,3.5,(668),2.9k,38,3,46
Quality Austria Central Asia,3.5,(668),1.9k,31,14,54
Carrier,3.7,(668),4.8k,55,5,44
PeopleStrong,3.3,(667),3.3k,55,1,47
Tata Power Delhi Distribution,3.8,(667),2.9k,37,3,67
Omaxe,4.2,(666),2.2k,40,4,53
Future Supply Chain Solutions,4.4,(666),2.1k,22,--,91
Corporate Infotech,3.7,(665),2.4k,89,4,21
Finova Capital,3.9,(666),1.6k,30,24,26
BankBazaar,3.2,(665),2.9k,62,21,64
National Stock Exchange of India,3.5,(665),4.6k,56,--,39
MAQ Software,3.0,(666),4.1k,175,3,28
Kutumbh Care,3.9,(663),1.6k,33,--,56
Epicenter Technologies,3.4,(663),2.2k,45,6,77
Marlabs,3.5,(663),5k,43,7,52
Suroj Buildcon,4.0,(663),1.7k,40,7,61
NiCE,3.6,(663),4.7k,103,64,65
Chaitanya India Fin Credit,4.1,(662),1.6k,38,--,29
Times Group,3.7,(662),4.7k,34,10,80
Anudip Foundation,4.0,(661),1.3k,213,15,43
Collegedunia,3.2,(661),3.4k,141,20,39
Inspirisys Solution,3.7,(661),3.8k,65,52,28
Yatra,3.3,(660),3.1k,39,3,60
Celebi Aviation Holding,4.0,(660),1.1k,37,--,3
Yatra,3.3,(660),3.1k,39,3,60
Hetero Healthcare,3.5,(660),2.3k,37,9,49
Healthians,4.0,(660),2k,146,--,24
Qatar Airways,3.4,(659),2.1k,72,4,63
RealPage,3.5,(659),4.3k,80,5,58
Vikram Solar,3.5,(658),2.4k,41,6,57
FCC Clutch,3.9,(659),2.3k,46,3,38
Pennar Industries,3.5,(657),3.1k,39,6,64
SOLAR INDUSTRIES INDIA,3.7,(657),3.2k,77,20,47
AML RightSource,2.5,(657),3.8k,67,22,19
Cogoport,3.2,(656),1.9k,58,--,6
Kaizen IT Services,3.8,(656),1.3k,38,--,22
Ramboll,4.0,(656),3.3k,47,136,70
3M,4.0,(656),3.3k,42,134,65
Fiat India Automobiles,3.5,(655),2.3k,47,9,58
TIAA Global Business Services,3.7,(655),5k,52,8,122
Gainwell Commosales,4.0,(654),2.4k,46,6,54
Motilal Oswal Wealth Management,4.4,(654),446,44,--,20
Monte Carlo,4.2,(653),2.5k,37,8,47
Forbes Marshall,3.9,(653),2.8k,47,45,55
Myk Laticrete,3.8,(653),2.3k,29,38,35
Alshaya Group,3.7,(652),2.3k,50,2,84
Me n Moms,4.1,(652),1.1k,153,5,41
Avaada Group,4.3,(652),2.4k,68,65,45
ICA Edu Skills,3.8,(652),1.4k,42,17,57
GKN,3.9,(651),2.4k,43,37,84
Airports Authority of India,4.3,(650),1.8k,56,--,72
Danfoss Industries,3.8,(650),3.5k,45,6,68
Kiya.ai,4.0,(650),4.3k,51,180,28
Talentpro,3.8,(650),2.4k,35,27,51
Geojit Financial Services,3.4,(649),2.2k,55,5,49
Blackrock,3.5,(649),7.8k,121,--,66
Uno Mindarika,4.0,(648),2k,52,--,58
South Indian Bank,3.3,(648),3.2k,49,--,37
ACKO,3.3,(648),3.2k,66,16,29
Philips Innovation Campus,3.7,(648),4.6k,58,--,47
The Lalit,3.3,(648),1.6k,26,11,81
Ferrero,3.9,(648),2.1k,31,14,69
TVS Eurogrip,3.6,(648),2.1k,34,14,38
NoBrokerHood,2.7,(647),2.1k,68,2,212
Ebixcash Global Services,3.2,(646),2.2k,59,30,11
Videocon d2h,3.8,(646),1.2k,31,--,105
Varun Motors,3.7,(646),2.2k,25,1,56
Global Healthcare Billing Partners,3.3,(646),3.8k,47,79,17
Sapphire Foods India,3.8,(645),2.1k,38,20,55
Varthana,4.0,(645),1.4k,47,11,61
Sir H. N. Reliance Foundation Hospital and Research,4.3,(645),1.2k,170,20,19
InsuranceDekho,3.5,(645),2.3k,81,44,10
NRB Bearings,4.0,(645),2.1k,53,48,66
B.L. Kashyap & Sons,3.7,(645),1.7k,70,9,54
Avalon Technologies,3.8,(646),3.5k,43,12,44
UKB Electronics Limited,3.5,(644),2.3k,55,28,98
Electrotherm,4.2,(644),2.9k,41,15,59
Sandvik Asia,4.1,(643),1.6k,33,--,93
Vyapar,3.6,(643),2.5k,83,118,41
ExportersIndia,4.9,(643),130,32,--,11
Maharashtra Seamless,3.5,(642),2.3k,63,2,44
Manjushree Technopack,3.5,(641),2.8k,50,15,57
Hamilton Housewares,3.8,(641),2.8k,44,69,36
Emids Technologies Limited,3.6,(641),5.1k,49,17,70
Hamilton Housewares,3.8,(641),2.8k,44,69,36
Infinity Learn,4.1,(642),2.2k,103,148,6
Khazana Jewellery,3.9,(642),1.8k,66,10,57
Schwing Stetter,3.8,(641),2.7k,48,95,54
IDBI Intech Limited,3.2,(640),3.1k,58,7,49
Mount Litera Zee School,3.7,(640),1.5k,42,14,70
NetConnectGlobal,3.1,(640),2.7k,33,168,31
Data Entry,4.2,(640),1.9k,137,--,54
Suraksha Diagnostic,3.7,(640),1.6k,52,26,44
Tecnimont,3.8,(639),2.8k,43,76,64
Central Reserve Police Force,4.6,(639),1.3k,10,--,46
Sasken,3.6,(639),4.4k,93,37,53
Reliance Jewels,3.9,(639),1.3k,38,--,51
Continental,3.7,(638),3.7k,59,91,53
Kirloskar Ferrous Industries,3.6,(638),2.2k,35,2,34
Turbo Energy,4.1,(637),2k,25,--,80
Action Tesa,3.9,(637),1.5k,113,11,16
Cashify,3.9,(634),2.8k,53,3,37
Sapiens,3.1,(634),5.5k,67,17,66
Suma Soft,3.5,(633),3.2k,52,19,45
HDFC Asset Management Company,4.1,(633),2.5k,48,--,30
Trigent Software,3.3,(633),4k,81,--,38
Annalect,3.4,(632),4.3k,83,--,18
Shriram Automall,4.0,(631),1.4k,55,--,117
HashedIn by Deloitte,3.8,(631),6.2k,149,18,52
Finastra,3.6,(631),4.6k,63,19,75
Sterling Oil Exploration & Energy Production,3.5,(630),1.4k,73,3,37
Dr. Batras' Positive Health Clinic,3.7,(630),1.1k,23,10,38
Adani Cement,3.4,(630),2.4k,62,--,9
Pyramid IT Consulting,3.1,(631),2.9k,28,3,46
Sl Lumax,3.4,(630),2.3k,30,3,88
Kajaria Ceramics,3.9,(629),2.1k,32,5,52
Godrej Industries,4.0,(629),2.9k,60,153,67
Nucleus Software Exports,3.1,(629),4.3k,48,4,76
Varindera Constructions,4.4,(629),1.4k,51,8,31
Nspira Management Services,3.7,(629),2.5k,39,39,26
Eli Lilly and Company,3.3,(629),5k,83,27,70
Royaloak Incorporation,3.6,(629),1.6k,43,5,15
Medcode,3.8,(628),513,14,15,1
Crowne Plaza,4.1,(628),1.3k,23,--,113
Einfochips,3.5,(628),4k,78,173,53
IRB Infrastructure,3.9,(628),1.4k,30,29,60
Jubilant Agri and Consumer Products,3.9,(627),2k,38,--,32
Sudarshan Chemical Industries,3.9,(627),2.8k,35,11,48
Finolex Industries,3.7,(627),2.4k,50,1,25
Aster Dm Healthcare,3.7,(626),3.1k,60,49,35
EaseMyTrip.com,4.0,(626),1.4k,70,32,219
Renovision Automation Services,3.3,(625),1.8k,27,14,41
Okaya Power,3.7,(625),2.2k,44,20,50
CSM Technologies,4.0,(626),2.2k,36,16,24
Cyfuture,2.9,(624),2.8k,108,38,78
Shivam Autotech,3.5,(624),2.3k,37,4,47
Mrs Bector's Food Specialities,3.8,(625),2k,33,22,34
Fiem Industries,3.7,(623),2.7k,29,11,55
Sintex Industries,3.9,(623),2k,25,9,57
Becton Dickinson,3.9,(622),3.5k,37,43,47
Karvy Stock Broking,3.6,(622),1.5k,9,--,70
The Saraswat Co-operative Bank,3.2,(622),3.1k,29,3,27
C5i,4.2,(622),3k,55,25,33
Mavenir Systems,3.3,(621),3.6k,63,14,47
Super Smelters,3.6,(621),2.2k,42,--,44
Family Health Plan,3.7,(622),2.1k,45,2,35
Rocket India,4.0,(621),3.8k,119,15,33
Hpl Electric & Power,3.7,(621),2.3k,70,6,28
Toyoda Gosei Minda,4.2,(620),1.9k,34,--,54
ITC Limited Foods Division,3.9,(620),2k,79,--,69
BMC Software,3.9,(620),3.9k,52,52,82
ThoughtWorks,4.0,(620),7.3k,178,13,50
Heidelberg Cement,4.0,(619),2k,37,1,43
Gestamp,3.7,(619),2.2k,25,--,67
BT E Serv,3.9,(618),2.7k,55,1,134
AgroStar,4.0,(618),1.6k,63,3,68
IKEA,4.0,(618),2.3k,52,2,58
Netmeds.com,3.9,(618),2.3k,50,--,31
Ongc Petro Additions,4.0,(618),3.3k,35,--,77
DHL Global Forwarding,3.8,(617),3.1k,39,3,77
Jayaswal Neco Industries Limited,4.1,(617),2.1k,37,16,48
Anmol Industries,3.9,(616),1.8k,68,--,51
Ofbusiness,2.9,(616),2.7k,52,68,24
Hitachi Systems Micro Clinic,4.0,(615),2.6k,32,--,72
Bharat Biotech International,3.1,(615),2.3k,67,11,38
Consulting Engineers Group,4.0,(615),1.8k,48,4,44
CSG International,3.5,(615),4.3k,61,2,47
FNP,3.7,(615),2.5k,76,19,30
HLL Lifecare,3.7,(614),1.8k,49,5,47
Pinnacle,3.4,(614),3k,63,21,57
VDA Infosolutions,3.8,(614),1.9k,55,1,26
APL Apollo Tubes,4.1,(615),2k,55,5,23
Jain Irrigation Systems,3.6,(613),1.9k,32,--,51
Grab A Grub Services,4.0,(612),2k,38,1,31
Royal Caribbean International,4.1,(611),709,34,--,65
Lulu International Shopping Mall,3.7,(610),2.7k,45,--,22
United Colors of Benetton,4.4,(610),1.4k,24,2,68
Holiday Inn,3.8,(610),1.4k,18,2,74
BAXY Limited,4.0,(610),2.1k,35,1,55
Perficient,3.7,(610),4.6k,49,13,31
EdgeVerve Systems,3.3,(610),4.4k,70,40,71
Accion Labs,3.5,(609),5k,85,47,45
Jaipur Rugs,4.2,(608),862,73,5,30
Hettich,3.6,(608),2.5k,44,11,41
Laxmi Organic Industries,3.6,(608),2.2k,48,13,52
MothersonSumi INfotech & Designs,3.4,(608),3.6k,39,25,58
Carnival Cruise Lines,4.1,(608),674,25,--,77
DealShare,3.6,(608),2.6k,42,--,35
Blackberrys,3.7,(607),1.8k,34,3,50
Expleo Group,3.5,(607),5.9k,49,91,23
Vedang Cellular Services,3.8,(607),1.8k,30,15,36
Kauvery Hospital,3.9,(607),2.3k,38,23,23
Pathkind Diagnostics Private Limited,3.9,(606),1.9k,56,15,50
Allianz Services,4.0,(607),2.5k,33,6,51
Aurionpro Solutions,3.4,(605),3.7k,39,13,35
Dhani Services,3.6,(604),1.2k,22,--,6
SIS Prosegur Holdings,3.4,(604),1.5k,21,6,46
Orra Fine Jewellery,3.5,(604),1.8k,53,48,31
Polaris Consulting,4.2,(603),2.6k,33,--,93
Iron Mountain Inc,3.7,(603),3.2k,35,145,51
Maxicus,3.9,(603),769,135,--,78
Dr. Reddy's Foundation,3.7,(602),1.8k,58,28,80
Inspira Enterprise India Limited,3.6,(601),3.6k,51,5,39
Premier Energies,4.0,(602),2.2k,52,28,32
Ambit Finvest,4.0,(600),2k,30,8,21
Colt Technology Services,4.2,(600),3.3k,25,18,82
Apitoria Pharma,4.2,(600),947,41,7,1
NLC India Limited,4.4,(599),1.3k,32,--,24
Medley Pharmaceuticals,3.8,(599),1.8k,39,25,41
IDP Education Limited,3.6,(599),2.5k,71,11,53
Vadilal Industries,4.1,(599),1.8k,38,7,66
Ascent HR Technologies Private Limited,3.6,(598),1.8k,47,13,22
IKF Finance,4.0,(598),1.4k,32,6,28
Bridge & Roof Co,3.4,(597),2.5k,27,--,102
Excitel Broadband,3.7,(597),2k,60,4,30
QSpiders,3.7,(599),1.8k,101,--,23
Cvent,3.2,(597),4.9k,103,62,57
ArcelorMittal,4.0,(596),3.4k,45,8,30
Fenesta Building Systems,4.0,(596),2k,41,19,45
HUDL,3.2,(596),2k,64,1,31
ShareChat,3.6,(595),2.6k,87,9,43
Affinity Express,2.8,(595),2.5k,40,2,42
Congruex Asia Pacific,3.7,(595),2.1k,75,4,45
Paytm Payments Services,3.2,(595),1.4k,24,2,10
Ugam Solution,3.5,(594),3.3k,51,--,96
Columbia Asia,4.6,(594),1.4k,19,--,99
Maharashtra State Electricity Distribution Company,4.2,(594),1.2k,25,--,42
Pamac Finserve,3.1,(594),1.7k,32,--,26
Efs Facilities Services,3.8,(594),1.4k,42,6,60
Saudi Aramco,4.4,(594),1.5k,61,--,80
PTC,4.2,(595),4k,70,21,57
Coal India,3.9,(593),1.9k,54,--,72
Gandhi Automations,4.0,(593),1.3k,42,2,103
Country Delight,3.9,(593),2.5k,45,8,11
Empower,4.0,(593),4.4k,62,11,43
Jindal Poly Films,3.6,(592),2.4k,40,--,53
SAEL Industries Limited,4.0,(593),2.1k,55,37,29
Prochant,3.8,(592),2.5k,74,25,37
Magma General Insurance Limited,3.7,(592),2.4k,43,26,38
PayU Payments,3.3,(592),4.4k,70,122,50
Crystal Crop Protection,3.9,(591),1.9k,25,3,45
Jubilant Generics,3.9,(591),2.3k,20,--,71
PureSoftware,2.9,(591),3.7k,70,29,39
Capital Numbers Infotech,4.1,(590),1.2k,48,11,88
Damco Solutions,3.4,(590),2.3k,45,83,24
Alcon,3.8,(590),3k,44,32,48
Kellogg,4.2,(590),2.3k,31,5,74
McCain Foods,4.1,(590),1.7k,38,5,50
AVTEC,3.5,(589),2.1k,26,16,58
Army Public School,4.0,(589),1.2k,43,--,56
Equifax,4.0,(589),2.7k,126,9,28
Prestige Group,4.3,(587),2.6k,50,19,54
Sandoz,4.0,(587),2.6k,26,--,53
Axiscades,3.1,(587),3.8k,65,16,32
MR.DIY,3.4,(587),1.6k,52,5,15
Quest Retail Private Limited,3.9,(586),936,16,2,246
Vishwa Samudra Engineering,3.5,(586),1.7k,38,1,12
Paramount Health Services Tpa,3.9,(586),2.3k,35,22,38
Voyants Solutions,3.6,(586),1.7k,60,166,32
Matrimonialsindia,4.9,(586),117,13,--,6
smartData Enterprises,3.8,(586),1.6k,72,16,81
BEML,3.6,(586),1.7k,29,--,60
Titan Engineering & Automation,3.8,(586),3.5k,39,25,36
Hilton,4.2,(586),1.5k,29,169,69
Unified Mentor,4.1,(586),418,129,4,2
Maxop Engineering Co.,4.1,(586),2.4k,49,9,30
UTL Solar,3.5,(585),1.8k,64,27,30
J K Fenner,3.8,(584),2k,37,11,48
Wood Group,3.7,(584),2.9k,68,72,27
Genesys International Corporation,3.1,(583),2.3k,23,1,53
BUSINESSNEXT,3.4,(582),4k,77,7,26
Icl Fincorp,4.7,(582),654,143,21,1
Toyota Industries Engine India,4.3,(581),1.6k,32,--,69
Baker Hughes,4.1,(581),4.2k,65,100,62
Dishman Carbogen Amcis,3.6,(581),2.1k,38,38,34
Andritz Hydro Location India,3.9,(581),2.9k,36,4,46
AVIOM,4.0,(580),1.2k,32,1,15
Vindhya e-Info Media,3.9,(580),1.2k,65,2,35
Mahendra NextWealth IT,3.3,(582),2k,26,8,19
NAV Backoffice,3.8,(580),2.5k,38,2,28
Lear Corporation,4.0,(580),3k,25,6,67
Applied Materials,3.7,(580),5k,91,173,62
Hitachi Cash Management Services,3.2,(580),1.3k,43,6,37
GAMMON INDIA,3.8,(580),1.1k,32,--,75
TSYS|Total System Services,4.1,(579),4.3k,68,17,10
Transport Corporation Of India,3.8,(579),1.9k,39,--,62
Datamatics Business Solutions,3.3,(579),2.6k,48,6,34
Paras Dairy,3.4,(578),1.7k,33,6,51
AM Infoweb,3.9,(578),1.5k,94,16,61
Western Refrigeration,3.8,(578),2.4k,42,40,39
Marelli,3.5,(577),2.8k,48,12,73
Bajaj Consumer Care,3.8,(577),1.4k,34,8,46
HBL Power Systems,4.0,(576),2.2k,34,14,56
FiveS Digital,3.3,(576),1.6k,59,8,8
WayCool Foods and Products,3.4,(575),2.8k,43,--,35
Amway India Enterprises,4.1,(575),2.1k,19,16,86
DB Schenker,4.3,(575),2.3k,26,--,48
Levi Strauss & Co.,4.2,(575),2.1k,34,21,68
Infotact Solutions,4.4,(575),56,139,--,18
Larsen & Toubro Group,4.0,(574),1k,96,--,49
Navin Fluorine International,3.8,(573),2.7k,30,5,44
WPP Media,3.6,(573),4.2k,46,4,38
Kirloskar Pneumatic,4.0,(572),2.7k,40,1,43
AVEVA,4.0,(572),1.9k,31,64,306
"DATAMARK, Inc.",3.5,(572),1.7k,36,55,47
SoftAge Information Technology,3.6,(572),969,24,6,67
Solara Active Pharma Sciences,3.7,(572),2.8k,45,2,55
LendingKart,3.6,(572),2.7k,39,83,25
Harman Finochem,3.6,(572),3k,44,26,36
Innovaccer,2.7,(571),3.7k,99,17,36
Haldiram Snacks,3.8,(570),1.9k,24,11,2
MITS Global Consulting,4.5,(570),935,45,--,107
Hitachi Systems,4.0,(570),3.1k,20,6,5
Renault,3.9,(570),1.9k,34,--,50
Carlsberg,3.9,(568),1.9k,39,18,61
Micromax Informatics,3.9,(567),1.3k,23,--,95
My Home Constructions,4.3,(567),2.3k,35,7,35
Macawber Beekay,4.2,(567),1.7k,27,21,62
Virtual Employee,3.2,(567),3.2k,54,--,55
L & W Constructions,4.0,(566),1.8k,29,2,45
The Times of India,3.6,(566),2.9k,47,1,55
Amara Raja Infra,4.0,(568),1.7k,60,--,20
Craftsman Automation,3.7,(565),2.4k,24,--,58
Allianz Partners,3.7,(565),2.7k,40,--,36
Allianz Partners,3.7,(565),2.7k,40,--,36
United Spirits,4.0,(564),1.5k,15,5,69
Kellogg Brown and Root,4.1,(564),2.4k,42,81,54
Innominds Software,3.2,(565),4.7k,49,92,31
MUTHOOT HOMEFIN (I) LTD.,3.8,(565),1.5k,34,10,16
Toothsi,2.7,(564),2.2k,67,--,21
Vimta Labs,3.4,(563),2.2k,43,6,59
Roop Polymers,4.0,(563),1.9k,33,17,43
Sulzer,3.9,(563),2.8k,36,5,64
Saksoft,3.4,(563),3.6k,51,5,24
Bharat Fritz Werner,3.9,(563),2.5k,33,14,49
Indecomm Global Services,4.1,(562),2.6k,30,13,49
Practo,2.9,(562),3.1k,83,15,63
Artemis Hospitals,4.1,(562),1.6k,20,11,50
BLK Super Speciality Hospital,3.9,(561),1.5k,36,--,39
Herbalife International,4.0,(561),2.7k,31,4,47
Unimoni,3.9,(560),2k,19,--,26
RAK Ceramics,3.7,(560),1.7k,35,8,52
Regalix,2.7,(560),2.9k,59,62,48
Innovatiview India Ltd,4.2,(560),1.4k,82,39,33
